Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
A3_3X3_P13,T9,A3,3X3,P13,Pocillopora,Enriched,3.617,1,1,T9
A3_3X3_P14,T6,A3,3X3,P14,Pocillopora,Enriched,1.56,1,1,T6
A3_3X3_P14,T9,A3,3X3,P14,Pocillopora,Enriched,2.973,0,1,T6
A3_3X3_P15,T9,A3,3X3,P15,Pocillopora,Enriched,2.125,1,1,T9
A3_3X3_P16,T9,A3,3X3,P16,Pocillopora,Enriched,2.439,1,1,T9
A3_3X3_P02,T9,A3,3X3,P02,Pocillopora,Enriched,6.11,0,1,T3
A3_3X3_P02,T3,A3,3X3,P02,Pocillopora,Enriched,1.81,1,1,T3
A3_3X3_P02,T6,A3,3X3,P02,Pocillopora,Enriched,4.429,0,1,T3
A3_3X3_P03,T9,A3,3X3,P03,Pocillopora,Enriched,7.561,0,1,T3
A3_3X3_P03,T3,A3,3X3,P03,Pocillopora,Enriched,2.46,1,1,T3
A3_3X3_P03,T6,A3,3X3,P03,Pocillopora,Enriched,4.912,0,1,T3
A3_3X3_P04,T9,A3,3X3,P04,Pocillopora,Enriched,8.071,0,1,T3
A3_3X3_P04,T3,A3,3X3,P04,Pocillopora,Enriched,2.782,1,1,T3
A3_3X3_P04,T6,A3,3X3,P04,Pocillopora,Enriched,5.057,0,1,T3
A3_3X3_P5A,T9,A3,3X3,P5A,Pocillopora,Enriched,10.493,0,1,T3
A3_3X3_P5A,T3,A3,3X3,P5A,Pocillopora,Enriched,3.505,1,1,T3
A3_3X3_P5A,T6,A3,3X3,P5A,Pocillopora,Enriched,6.81,0,1,T3
A3_3X3_P5B,T9,A3,3X3,P5B,Pocillopora,Enriched,8.869,0,1,T3
A3_3X3_P5B,T3,A3,3X3,P5B,Pocillopora,Enriched,2.454,1,1,T3
A3_3X3_P5B,T6,A3,3X3,P5B,Pocillopora,Enriched,5.44,0,1,T3
A3_3X3_P06,T9,A3,3X3,P06,Pocillopora,Enriched,14.482,0,1,T3
A3_3X3_P06,T3,A3,3X3,P06,Pocillopora,Enriched,3.619,1,1,T3
A3_3X3_P06,T6,A3,3X3,P06,Pocillopora,Enriched,10.064,0,1,T3
A3_3X3_P07,T3,A3,3X3,P07,Pocillopora,Enriched,2.495,1,1,T3
A3_3X3_P07,T6,A3,3X3,P07,Pocillopora,Enriched,5.004,0,1,T3
A3_3X3_P07,T9,A3,3X3,P07,Pocillopora,Enriched,7.229,0,1,T3
A3_3X3_P08,T3,A3,3X3,P08,Pocillopora,Enriched,2.032,1,1,T3
A3_3X3_P08,T6,A3,3X3,P08,Pocillopora,Enriched,4.976,0,1,T3
A3_3X3_P08,T9,A3,3X3,P08,Pocillopora,Enriched,7.757,0,1,T3
A3_3X3_P09,T6,A3,3X3,P09,Pocillopora,Enriched,2.975,1,1,T6
A3_3X3_P09,T9,A3,3X3,P09,Pocillopora,Enriched,4.625,0,1,T6
A3_open_P01,T3,A3,open,P01,Pocillopora,Enriched,1.851,1,1,T3
A3_open_P01,T6,A3,open,P01,Pocillopora,Enriched,4.91,0,1,T3
A3_open_P01,T9,A3,open,P01,Pocillopora,Enriched,8.912,0,1,T3
A3_open_P11,T6,A3,open,P11,Pocillopora,Enriched,1.56,1,1,T6
A3_open_P11,T9,A3,open,P11,Pocillopora,Enriched,2.583,0,1,T6
A3_open_P14,T6,A3,open,P14,Pocillopora,Enriched,1.763,1,1,T6
A3_open_P14,T9,A3,open,P14,Pocillopora,Enriched,3.248,0,1,T6
A3_open_P15,T9,A3,open,P15,Pocillopora,Enriched,2.241,1,1,T9
A3_open_P02,T3,A3,open,P02,Pocillopora,Enriched,2.696,1,1,T3
A3_open_P02,T6,A3,open,P02,Pocillopora,Enriched,5.314,0,1,T3
A3_open_P02,T9,A3,open,P02,Pocillopora,Enriched,7.392,0,1,T3
A3_open_P03,T3,A3,open,P03,Pocillopora,Enriched,3.502,1,1,T3
A3_open_P03,T6,A3,open,P03,Pocillopora,Enriched,5.193,0,1,T3
A3_open_P03,T9,A3,open,P03,Pocillopora,Enriched,6.89,0,1,T3
A3_open_P04,T3,A3,open,P04,Pocillopora,Enriched,2.619,1,1,T3
A3_open_P04,T6,A3,open,P04,Pocillopora,Enriched,4.735,0,1,T3
A3_open_P04,T9,A3,open,P04,Pocillopora,Enriched,6.756,0,1,T3
A3_open_P05,T3,A3,open,P05,Pocillopora,Enriched,3.27,1,1,T3
A3_open_P05,T6,A3,open,P05,Pocillopora,Enriched,5.909,0,1,T3
A3_open_P05,T9,A3,open,P05,Pocillopora,Enriched,7.27,0,1,T3
A3_open_P07,T6,A3,open,P07,Pocillopora,Enriched,2.943,1,1,T6
A3_open_P07,T9,A3,open,P07,Pocillopora,Enriched,6.541,0,1,T6
A3_open_P08,T6,A3,open,P08,Pocillopora,Enriched,2.677,1,1,T6
A3_open_P08,T9,A3,open,P08,Pocillopora,Enriched,3.898,0,1,T6
A3_open_P09,T6,A3,open,P09,Pocillopora,Enriched,1.867,1,1,T6
A3_open_P09,T9,A3,open,P09,Pocillopora,Enriched,4.212,0,1,T6
A4_1X1_P01,T9,A4,1X1,P01,Pocillopora,Ambient,6.373,0,1,T6
A4_1X1_P01,T6,A4,1X1,P01,Pocillopora,Ambient,3.147,1,1,T6
A4_1X1_P11,T3,A4,1X1,P11,Pocillopora,Ambient,2.089,1,1,T6
A4_1X1_P11,T9,A4,1X1,P11,Pocillopora,Ambient,6.602,0,1,T6
A4_1X1_P11,T6,A4,1X1,P11,Pocillopora,Ambient,4.914,0,1,T6
A4_1X1_P12,T3,A4,1X1,P12,Pocillopora,Ambient,1.991,1,1,T6
A4_1X1_P12,T9,A4,1X1,P12,Pocillopora,Ambient,8.104,0,1,T6
A4_1X1_P12,T6,A4,1X1,P12,Pocillopora,Ambient,5,0,1,T6
A4_1X1_P13,T3,A4,1X1,P13,Pocillopora,Ambient,1.662,1,1,T6
A4_1X1_P13,T6,A4,1X1,P13,Pocillopora,Ambient,3.53,0,1,T6
A4_1X1_P13,T9,A4,1X1,P13,Pocillopora,Ambient,4.347,0,1,T6
A4_1X1_P14,T3,A4,1X1,P14,Pocillopora,Ambient,2.159,1,1,T6
A4_1X1_P14,T6,A4,1X1,P14,Pocillopora,Ambient,5.7,0,1,T6
A4_1X1_P14,T9,A4,1X1,P14,Pocillopora,Ambient,9.707,0,1,T6
A4_1X1_P17,T3,A4,1X1,P17,Pocillopora,Ambient,1.455,1,1,T6
A4_1X1_P17,T6,A4,1X1,P17,Pocillopora,Ambient,3.749,0,1,T6
A4_1X1_P17,T9,A4,1X1,P17,Pocillopora,Ambient,4.61,0,1,T6
A4_1X1_P21,T6,A4,1X1,P21,Pocillopora,Ambient,1.604,1,1,T6
A4_1X1_P21,T9,A4,1X1,P21,Pocillopora,Ambient,2.337,0,1,T6
A4_1X1_P22,T6,A4,1X1,P22,Pocillopora,Ambient,2.449,1,1,T6
A4_1X1_P22,T9,A4,1X1,P22,Pocillopora,Ambient,2.538,0,1,T6
A4_1X1_P24,T9,A4,1X1,P24,Pocillopora,Ambient,6.559,1,1,T9
A4_1X1_P25,T6,A4,1X1,P25,Pocillopora,Ambient,NA,0,1,T9
A4_1X1_P25,T3,A4,1X1,P25,Pocillopora,Ambient,1.153,1,1,T9
A4_1X1_P25,T9,A4,1X1,P25,Pocillopora,Ambient,4.62,1,1,T9
A4_1X1_P28,T9,A4,1X1,P28,Pocillopora,Ambient,1.454,1,1,T9
A4_1X1_P03,T6,A4,1X1,P03,Pocillopora,Ambient,4.421,0,1,T6
A4_1X1_P03,T3,A4,1X1,P03,Pocillopora,Ambient,1.915,1,1,T6
A4_1X1_P03,T9,A4,1X1,P03,Pocillopora,Ambient,5.319,0,1,T6
A4_1X1_P05,T6,A4,1X1,P05,Pocillopora,Ambient,5.857,0,1,T6
A4_1X1_P05,T3,A4,1X1,P05,Pocillopora,Ambient,1.951,1,1,T6
A4_1X1_P05,T9,A4,1X1,P05,Pocillopora,Ambient,8.036,0,1,T6
A4_1X1_P08,T0,A4,1X1,P08,Pocillopora,Ambient,NA,1,1,T0
A4_1X1_P08,T6,A4,1X1,P08,Pocillopora,Ambient,6.694,0,1,T0
A4_1X1_P08,T3,A4,1X1,P08,Pocillopora,Ambient,2.612,0,1,T0
A4_1X1_P08,T9,A4,1X1,P08,Pocillopora,Ambient,8.343,0,1,T0
